total_timesteps,n_updates,ep_len_mean,ep_reward_mean_agt1,ep_reward_mean_agt2,Environment Depth,ball_collision_agt1,ball_collision_agt2,no_side_agt1,no_side_agt2
4096.0,1.0,414.44,-6.81,-7.35,6.0,0.78,1.0,195.44,200.44
8192.0,2.0,428.37,-6.9,-7.14,6.0,1.0,1.05,198.21,199.58
12288.0,3.0,426.18,-6.81,-7.01,6.0,0.96,1.25,184.46,185.32
16384.0,4.0,427.03,-6.65,-6.86,6.0,0.84,1.24,164.18,174.45
20480.0,5.0,422.92,-6.5,-6.83,6.0,0.88,1.1,146.29,159.25
24576.0,6.0,420.67,-6.35,-6.72,6.0,0.83,1.03,130.22,144.69
28672.0,7.0,420.38,-5.98,-6.79,6.0,0.82,0.94,115.88,140.51
32768.0,8.0,418.63,-5.9,-6.73,6.0,0.74,0.9,104.31,131.05
36864.0,9.0,418.55,-5.95,-6.62,6.0,0.72,0.85,96.4,123.49
40960.0,10.0,416.68,-5.95,-6.56,6.0,0.68,0.81,88.49,115.11
45056.0,11.0,415.97,-5.92,-6.42,6.0,0.62,0.76,71.4,100.15
49152.0,12.0,415.96,-5.87,-6.27,6.0,0.57,0.71,55.96,84.98
53248.0,13.0,417.35,-5.77,-6.16,6.0,0.57,0.63,43.51,72.22
57344.0,14.0,421.67,-5.63,-6.04,6.0,0.6,0.6,33.69,61.54
61440.0,15.0,420.58,-5.47,-5.96,6.0,0.56,0.61,26.18,55.04
65536.0,16.0,422.44,-5.33,-5.92,6.0,0.63,0.58,21.85,52.23
69632.0,17.0,423.1,-5.25,-5.84,6.0,0.66,0.59,19.83,45.94
73728.0,18.0,423.04,-5.11,-5.84,6.0,0.68,0.64,17.86,42.09
77824.0,19.0,422.77,-4.93,-5.84,6.0,0.82,0.67,15.96,38.87
81920.0,20.0,424.71,-4.7,-5.79,6.0,0.83,0.69,13.04,36.95
86016.0,21.0,427.1,-4.46,-5.83,6.0,0.89,0.67,13.12,38.73
90112.0,22.0,427.34,-4.12,-5.94,6.0,1.0,0.67,12.37,39.51
94208.0,23.0,426.37,-3.93,-6.01,6.0,1.14,0.72,12.38,40.57
98304.0,24.0,426.4,-3.71,-6.12,6.0,1.26,0.72,12.63,40.18
102400.0,25.0,425.85,-3.68,-6.1,6.0,1.27,0.64,12.98,39.37
106496.0,26.0,425.43,-3.55,-6.16,6.0,1.32,0.63,12.64,36.05
110592.0,27.0,426.65,-3.62,-6.04,6.0,1.32,0.63,12.9,35.26
114688.0,28.0,424.86,-3.45,-6.18,6.0,1.38,0.52,13.16,33.88
118784.0,29.0,427.47,-3.49,-6.09,6.0,1.33,0.5,14.38,33.6
